Postcode,Installation,Output
0,1,0.98
200,1,0.08
800,0,0
801,2,3.44
803,0,0
804,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
820,0,0
821,0,0
822,1,4.8
828,1,4.8
829,0,0
830,0,0
831,1,5.12
832,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
845,0,0
846,0,0
847,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
860,0,0
861,7,13.68
862,0,0
870,0,0
871,7,12.75
872,1,0.8
873,0,0
874,0,0
875,0,0
880,0,0
881,2,5.75
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,0,0
2007,0,0
2008,0,0
2009,0,0
2010,1,1.5
2011,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
2021,0,0
2022,0,0
2023,0,0
2024,1,1.5
2025,0,0
2026,0,0
2027,0,0
2028,0,0
2029,0,0
2030,0,0
2031,0,0
2032,0,0
2033,0,0
2034,1,0.08
2035,0,0
2036,0,0
2037,0,0
2038,0,0
2039,0,0
2040,0,0
2041,0,0
2042,0,0
2043,0,0
2044,0,0
2045,0,0
2046,0,0
2047,0,0
2048,0,0
2049,0,0
2050,0,0
2055,0,0
2057,0,0
2059,0,0
2060,0,0
2061,0,0
2062,0,0
2063,0,0
2064,0,0
2065,0,0
2066,1,1.26
2067,0,0
2068,0,0
2069,0,0
2070,0,0
2071,0,0
2072,0,0
2073,0,0
2074,0,0
2075,0,0
2076,0,0
2077,1,0.84
2079,0,0
2080,1,0.24
2081,0,0
2082,2,1.56
2083,1,0.4
2084,1,4.2
2085,0,0
2086,1,2.04
2087,0,0
2088,0,0
2089,0,0
2090,0,0
2092,0,0
2093,0,0
2094,0,0
2095,0,0
2096,2,3.2
2097,0,0
2099,0,0
2100,0,0
2101,1,2.38
2102,0,0
2103,0,0
2104,1,0.16
2105,0,0
2106,0,0
2107,0,0
2108,0,0
2109,0,0
2110,0,0
2111,0,0
2112,0,0
2113,0,0
2114,0,0
2115,0,0
2116,0,0
2117,0,0
2118,0,0
2119,0,0
2120,1,0.125
2121,0,0
2122,1,1.25
2123,0,0
2124,0,0
2125,2,2.56
2126,0,0
2127,0,0
2128,0,0
2130,0,0
2131,0,0
2132,0,0
2133,0,0
2134,0,0
2135,0,0
2136,0,0
2137,0,0
2138,0,0
2140,1,1.92
2141,0,0
2142,0,0
2143,0,0
2144,0,0
2145,0,0
2146,0,0
2147,0,0
2148,1,2.4
2150,0,0
2151,0,0
2152,0,0
2153,1,1.5
2154,0,0
2155,0,0
2156,0,0
2157,0,0
2158,0,0
2159,0,0
2160,0,0
2161,0,0
2162,0,0
2163,0,0
2164,0,0
2165,0,0
2166,0,0
2167,0,0
2168,0,0
2170,0,0
2171,0,0
2172,0,0
2173,0,0
2174,0,0
2175,0,0
2176,0,0
2177,0,0
2178,0,0
2179,0,0
2190,0,0
2191,0,0
2192,0,0
2193,0,0
2194,0,0
2195,0,0
2196,0,0
2197,0,0
2198,0,0
2199,0,0
2200,2,3
2203,0,0
2204,0,0
2205,0,0
2206,0,0
2207,0,0
2208,0,0
2209,0,0
2210,0,0
2211,0,0
2212,0,0
2213,0,0
2214,0,0
2216,0,0
2217,0,0
2218,0,0
2219,1,0.13
2220,0,0
2221,0,0
2222,0,0
2223,0,0
2224,0,0
2225,0,0
2226,0,0
2227,0,0
2228,0,0
2229,0,0
2230,0,0
2231,0,0
2232,0,0
2233,0,0
2234,0,0
2250,2,3.42
2251,0,0
2256,0,0
2257,0,0
2258,0,0
2259,4,6.76
2260,0,0
2261,1,1.5
2262,0,0
2263,0,0
2264,0,0
2265,0,0
2267,0,0
2278,0,0
2280,0,0
2281,0,0
2282,1,0.16
2283,0,0
2284,1,0.08
2285,1,0.08
2286,0,0
2287,0,0
2289,0,0
2290,0,0
2291,0,0
2292,0,0
2293,0,0
2294,0,0
2295,0,0
2296,0,0
2297,0,0
2298,0,0
2299,0,0
2300,0,0
2302,0,0
2303,0,0
2304,0,0
2305,0,0
2306,0,0
2307,0,0
2308,0,0
2311,0,0
2312,1,2.24
2315,1,0.2
2316,0,0
2317,0,0
2318,0,0
2319,0,0
2320,0,0
2321,0,0
2322,0,0
2323,0,0
2324,0,0
2325,2,0.24
2326,0,0
2327,0,0
2328,0,0
2329,1,0.125
2330,3,2.4
2333,0,0
2334,0,0
2335,0,0
2336,0,0
2337,0,0
2338,0,0
2339,0,0
2340,0,0
2341,0,0
2342,0,0
2343,0,0
2344,0,0
2345,0,0
2346,0,0
2347,0,0
2350,1,0.56
2352,0,0
2353,0,0
2354,1,0.16
2355,1,1.6
2356,0,0
2357,0,0
2358,1,1
2359,0,0
2360,1,0.96
2361,1,0.96
2365,1,0.345
2369,0,0
2370,1,1.5
2371,3,1.92
2372,1,1.76
2379,0,0
2380,0,0
2381,0,0
2382,0,0
2386,0,0
2387,0,0
2388,0,0
2390,0,0
2395,0,0
2396,0,0
2397,0,0
2398,0,0
2399,0,0
2400,1,0.24
2401,0,0
2402,0,0
2403,0,0
2404,0,0
2405,0,0
2406,0,0
2408,0,0
2409,0,0
2410,0,0
2411,0,0
2415,0,0
2420,1,1.28
2421,0,0
2422,2,3.18
2423,0,0
2424,2,1.58
2425,1,1.96
2426,0,0
2427,0,0
2428,1,0.24
2429,4,2.425
2430,2,1.58
2431,0,0
2439,1,1.96
2440,4,3.82
2441,6,4.24
2443,0,0
2444,1,1.75
2445,0,0
2446,1,0.98
2447,0,0
2448,1,1.5
2449,2,0.96
2450,12,9.26
2452,0,0
2453,6,6.8
2454,4,2.24
2455,1,0.72
2456,2,0.64
2460,3,2.85
2462,2,3.84
2463,1,0.08
2464,0,0
2465,1,1.575
2466,0,0
2469,0,0
2470,2,2.56
2471,1,0.98
2472,0,0
2473,0,0
2474,1,1.96
2475,0,0
2476,0,0
2477,0,0
2478,0,0
2479,0,0
2480,8,5.62
2481,0,0
2482,0,0
2483,0,0
2484,0,0
2485,0,0
2486,1,1.65
2487,0,0
2488,0,0
2489,0,0
2490,0,0
2500,0,0
2502,0,0
2505,0,0
2506,0,0
2508,0,0
2515,0,0
2516,0,0
2517,1,0.08
2518,0,0
2519,0,0
2520,0,0
2525,0,0
2526,1,0.13
2527,2,2.88
2528,1,0.125
2529,0,0
2530,0,0
2533,1,0.64
2534,0,0
2535,0,0
2536,1,1.44
2537,3,4.5
2538,0,0
2539,0,0
2540,2,2.62
2541,0,0
2545,1,0.8
2546,6,4.165
2548,0,0
2549,0,0
2550,9,8.412
2551,1,0.26
2552,0,0
2555,0,0
2556,0,0
2557,0,0
2558,0,0
2559,0,0
2560,0,0
2563,0,0
2564,0,0
2565,0,0
2566,0,0
2567,0,0
2568,0,0
2569,0,0
2570,1,0.125
2571,0,0
2572,0,0
2573,0,0
2574,0,0
2575,0,0
2576,0,0
2577,1,1.28
2578,1,1.96
2579,2,3.02
2580,9,8.43
2581,0,0
2582,1,1.92
2583,0,0
2584,0,0
2585,0,0
2586,0,0
2587,0,0
2588,0,0
2590,1,0.64
2594,1,1.5
2600,0,0
2601,1,0.7
2602,0,0
2603,0,0
2604,0,0
2605,0,0
2606,0,0
2607,0,0
2609,0,0
2611,1,1.8
2612,0,0
2614,0,0
2615,0,0
2616,0,0
2617,0,0
2618,0,0
2619,0,0
2620,3,4.48
2621,3,4.38
2622,13,15.04
2623,0,0
2624,0,0
2625,0,0
2626,0,0
2627,0,0
2628,0,0
2629,0,0
2630,0,0
2631,0,0
2632,1,1.4
2633,0,0
2640,0,0
2641,0,0
2642,0,0
2643,0,0
2644,0,0
2645,2,3
2646,0,0
2647,0,0
2648,0,0
2649,0,0
2650,0,0
2651,0,0
2652,0,0
2653,0,0
2655,0,0
2656,0,0
2658,0,0
2659,0,0
2660,0,0
2663,0,0
2665,0,0
2666,0,0
2668,0,0
2669,0,0
2671,0,0
2672,0,0
2675,1,0.08
2680,1,1.5
2681,0,0
2700,0,0
2701,0,0
2702,0,0
2703,0,0
2705,0,0
2706,0,0
2707,0,0
2710,0,0
2711,1,0.3
2712,0,0
2713,0,0
2714,0,0
2715,0,0
2716,1,0.45
2717,0,0
2720,0,0
2721,0,0
2722,1,1.5
2725,0,0
2726,0,0
2727,0,0
2729,0,0
2730,0,0
2731,0,0
2732,0,0
2733,0,0
2734,0,0
2735,0,0
2736,0,0
2737,0,0
2738,0,0
2739,0,0
2745,0,0
2747,0,0
2748,0,0
2749,0,0
2750,0,0
2751,0,0
2752,0,0
2753,0,0
2754,0,0
2756,2,3.88
2757,0,0
2758,1,1.96
2759,0,0
2760,0,0
2761,0,0
2762,0,0
2763,0,0
2765,0,0
2766,0,0
2767,0,0
2768,0,0
2769,0,0
2770,0,0
2773,0,0
2774,0,0
2775,0,0
2776,0,0
2777,0,0
2778,0,0
2779,0,0
2780,0,0
2782,0,0
2783,0,0
2784,0,0
2785,0,0
2786,1,0.84
2787,0,0
2790,1,1.26
2791,0,0
2792,0,0
2793,0,0
2794,1,0.6
2795,5,4.78
2797,0,0
2798,0,0
2799,0,0
2800,1,1.05
2803,0,0
2804,0,0
2805,0,0
2806,0,0
2807,0,0
2808,0,0
2809,0,0
2810,0,0
2817,0,0
2818,0,0
2820,1,0.28
2821,1,1.5
2822,0,0
2823,0,0
2824,0,0
2825,0,0
2826,0,0
2827,0,0
2828,0,0
2829,0,0
2830,0,0
2831,0,0
2832,0,0
2833,0,0
2834,0,0
2835,0,0
2836,0,0
2838,0,0
2839,0,0
2840,0,0
2842,0,0
2843,0,0
2844,0,0
2845,0,0
2846,0,0
2847,1,1.6
2848,0,0
2849,3,4.8
2850,7,6.41
2852,0,0
2864,0,0
2865,0,0
2866,0,0
2867,0,0
2868,0,0
2869,0,0
2870,1,7.2
2871,0,0
2873,0,0
2874,0,0
2875,0,0
2876,0,0
2877,0,0
2878,0,0
2879,1,0.6
2880,5,10.95
2898,0,0
2899,0,0
2900,0,0
2901,0,0
2902,0,0
2903,0,0
2904,0,0
2905,0,0
2906,0,0
2911,0,0
2912,0,0
2913,0,0
2914,0,0
3000,0,0
3002,0,0
3003,0,0
3004,0,0
3006,0,0
3008,0,0
3011,0,0
3012,0,0
3013,0,0
3015,0,0
3016,1,1.6
3018,0,0
3019,0,0
3020,1,0.48
3021,1,2.56
3022,0,0
3023,0,0
3024,0,0
3025,0,0
3026,0,0
3027,0,0
3028,0,0
3029,0,0
3030,0,0
3031,0,0
3032,0,0
3033,0,0
3034,0,0
3036,0,0
3037,0,0
3038,0,0
3039,1,1.12
3040,0,0
3041,0,0
3042,0,0
3043,1,1.4
3044,0,0
3045,0,0
3046,0,0
3047,0,0
3048,0,0
3049,0,0
3051,0,0
3052,0,0
3053,0,0
3054,0,0
3055,0,0
3056,1,0.75
3057,0,0
3058,0,0
3059,0,0
3060,0,0
3061,0,0
3062,0,0
3063,0,0
3064,0,0
3065,0,0
3066,0,0
3067,0,0
3068,0,0
3070,0,0
3071,1,0.48
3072,0,0
3073,0,0
3074,0,0
3075,0,0
3076,0,0
3078,0,0
3079,0,0
3081,1,1.05
3082,0,0
3083,0,0
3084,0,0
3085,0,0
3087,0,0
3088,0,0
3089,0,0
3090,0,0
3091,0,0
3093,0,0
3094,0,0
3095,3,4.3
3096,0,0
3097,0,0
3099,0,0
3101,0,0
3102,1,2.04
3103,1,1.5
3104,0,0
3105,0,0
3106,0,0
3107,0,0
3108,1,1.02
3109,0,0
3111,0,0
3113,0,0
3114,0,0
3115,0,0
3116,0,0
3121,0,0
3122,1,0.96
3123,0,0
3124,1,1.8
3125,0,0
3126,0,0
3127,0,0
3128,0,0
3129,0,0
3130,0,0
3131,1,0.96
3132,0,0
3133,0,0
3134,1,0.98
3135,0,0
3136,0,0
3137,0,0
3138,0,0
3139,0,0
3140,0,0
3141,0,0
3142,0,0
3143,0,0
3144,0,0
3145,1,1.05
3146,0,0
3147,0,0
3148,0,0
3149,2,1.86
3150,0,0
3151,0,0
3152,1,1.6
3153,0,0
3154,0,0
3155,0,0
3156,1,0.98
3158,0,0
3159,0,0
3160,0,0
3161,0,0
3162,0,0
3163,1,1.44
3164,0,0
3165,0,0
3166,0,0
3167,0,0
3168,0,0
3169,0,0
3170,0,0
3171,0,0
3172,0,0
3173,0,0
3174,0,0
3175,0,0
3176,0,0
3177,0,0
3178,0,0
3179,0,0
3180,0,0
3181,0,0
3182,1,0.25
3183,0,0
3184,0,0
3185,0,0
3186,1,1.12
3187,0,0
3188,0,0
3189,0,0
3190,0,0
3191,1,0.125
3192,0,0
3193,0,0
3194,0,0
3195,0,0
3196,0,0
3197,0,0
3198,0,0
3199,3,4.88
3200,0,0
3201,1,3.08
3202,0,0
3204,1,1.5
3205,0,0
3206,1,1.6
3207,0,0
3211,0,0
3212,0,0
3213,0,0
3214,0,0
3215,0,0
3216,1,1.6
3217,0,0
3218,0,0
3219,0,0
3220,0,0
3221,3,2.72
3222,0,0
3223,0,0
3224,0,0
3225,2,1.62
3226,0,0
3227,1,2.04
3228,0,0
3230,0,0
3231,0,0
3232,0,0
3233,1,1.05
3234,0,0
3235,0,0
3236,0,0
3237,0,0
3238,0,0
3239,0,0
3240,0,0
3241,0,0
3242,0,0
3243,0,0
3249,1,0.48
3250,0,0
3251,0,0
3254,0,0
3260,1,1.12
3264,0,0
3265,0,0
3266,0,0
3267,0,0
3268,0,0
3269,0,0
3270,0,0
3271,0,0
3272,0,0
3273,0,0
3274,0,0
3275,0,0
3276,0,0
3277,0,0
3278,0,0
3279,0,0
3280,0,0
3281,0,0
3282,0,0
3283,1,1
3284,0,0
3285,0,0
3286,0,0
3287,0,0
3289,0,0
3292,0,0
3293,0,0
3294,0,0
3300,0,0
3301,0,0
3302,0,0
3303,0,0
3304,0,0
3305,0,0
3309,0,0
3310,0,0
3311,0,0
3312,0,0
3314,0,0
3315,1,0.6
3317,1,2.04
3318,1,1.28
3319,0,0
3321,0,0
3322,0,0
3323,0,0
3324,0,0
3325,0,0
3328,0,0
3329,0,0
3330,0,0
3331,1,2.1
3332,0,0
3333,0,0
3334,0,0
3335,0,0
3336,0,0
3337,0,0
3338,1,1.7
3340,1,2.31
3341,0,0
3342,2,2.18
3345,0,0
3350,0,0
3351,0,0
3352,0,0
3353,0,0
3354,0,0
3355,0,0
3356,0,0
3357,1,0.9
3358,0,0
3360,0,0
3361,0,0
3363,0,0
3364,0,0
3370,0,0
3371,0,0
3373,0,0
3374,0,0
3375,0,0
3377,1,0.4
3378,0,0
3379,0,0
3380,1,1.12
3381,0,0
3384,0,0
3385,0,0
3387,0,0
3388,0,0
3390,0,0
3391,0,0
3392,0,0
3393,0,0
3395,0,0
3396,0,0
3400,1,1.7
3401,0,0
3402,0,0
3407,1,4.48
3409,0,0
3412,0,0
3413,0,0
3414,0,0
3415,0,0
3418,0,0
3419,0,0
3420,0,0
3423,0,0
3424,0,0
3427,0,0
3428,0,0
3429,1,0.98
3430,0,0
3431,0,0
3432,0,0
3433,0,0
3434,1,1.8
3435,0,0
3437,0,0
3438,0,0
3440,0,0
3441,0,0
3442,0,0
3444,1,1.02
3446,0,0
3447,0,0
3448,0,0
3450,0,0
3451,1,1.48
3453,0,0
3458,0,0
3460,0,0
3461,1,1.05
3462,1,1.485
3463,0,0
3464,0,0
3465,0,0
3467,0,0
3468,1,1.6
3469,0,0
3472,0,0
3475,0,0
3477,0,0
3478,2,0.535
3480,0,0
3482,0,0
3483,0,0
3485,0,0
3487,0,0
3488,0,0
3489,0,0
3490,0,0
3491,0,0
3494,0,0
3496,0,0
3498,0,0
3500,1,1.7
3501,0,0
3502,0,0
3505,1,0.23
3506,0,0
3507,0,0
3509,0,0
3512,0,0
3515,0,0
3516,0,0
3517,0,0
3518,2,2.08
3520,0,0
3521,0,0
3522,0,0
3523,0,0
3525,0,0
3527,0,0
3529,0,0
3530,1,1.5
3531,0,0
3533,0,0
3537,0,0
3540,0,0
3542,0,0
3544,0,0
3546,0,0
3549,0,0
3550,1,1.36
3551,1,0.64
3552,0,0
3554,0,0
3555,0,0
3556,0,0
3557,0,0
3558,0,0
3559,0,0
3561,0,0
3562,0,0
3563,0,0
3564,1,1.12
3565,0,0
3566,0,0
3567,0,0
3568,0,0
3570,0,0
3571,0,0
3572,0,0
3573,0,0
3575,0,0
3576,0,0
3579,0,0
3580,0,0
3581,0,0
3583,0,0
3584,0,0
3585,0,0
3586,0,0
3588,0,0
3589,0,0
3590,0,0
3591,0,0
3594,0,0
3595,0,0
3596,0,0
3597,0,0
3599,0,0
3607,0,0
3608,0,0
3610,0,0
3612,1,0.56
3614,0,0
3616,0,0
3617,0,0
3618,0,0
3619,0,0
3620,0,0
3621,0,0
3622,0,0
3623,0,0
3624,0,0
3629,0,0
3630,0,0
3631,0,0
3632,0,0
3633,0,0
3634,0,0
3635,0,0
3636,0,0
3637,0,0
3638,0,0
3639,0,0
3640,0,0
3641,0,0
3643,0,0
3644,0,0
3646,0,0
3647,0,0
3649,0,0
3658,0,0
3659,1,2.1
3660,0,0
3661,0,0
3662,0,0
3663,0,0
3664,0,0
3665,1,0.84
3666,4,2.68
3669,0,0
3670,1,0.5
3671,0,0
3672,1,0.15
3673,0,0
3675,1,1.12
3676,0,0
3677,0,0
3678,1,0.42
3682,0,0
3683,0,0
3685,0,0
3687,0,0
3688,2,1.92
3689,0,0
3690,0,0
3691,2,3.165
3694,0,0
3695,0,0
3697,0,0
3698,0,0
3699,0,0
3700,0,0
3701,0,0
3704,0,0
3705,0,0
3707,0,0
3708,0,0
3709,1,0.28
3711,0,0
3712,0,0
3713,0,0
3714,1,1.12
3715,0,0
3717,2,0.76
3718,0,0
3719,1,1.2
3720,1,0.56
3722,0,0
3723,2,0.875
3724,0,0
3725,0,0
3726,0,0
3727,0,0
3728,0,0
3730,0,0
3732,0,0
3733,0,0
3735,0,0
3736,0,0
3737,1,0.56
3738,1,1.68
3739,0,0
3740,0,0
3741,2,3.37
3744,0,0
3746,0,0
3747,3,1.28
3749,1,1.68
3750,0,0
3751,0,0
3752,0,0
3753,0,0
3754,0,0
3755,0,0
3756,0,0
3757,1,1.44
3758,0,0
3759,0,0
3760,1,2.24
3761,0,0
3762,0,0
3763,1,2.88
3764,0,0
3765,0,0
3766,0,0
3767,0,0
3770,0,0
3775,0,0
3777,3,3.39
3778,0,0
3779,0,0
3781,0,0
3782,0,0
3783,1,0.96
3786,0,0
3787,0,0
3788,0,0
3789,0,0
3791,0,0
3792,0,0
3793,0,0
3795,0,0
3796,0,0
3797,1,1.28
3799,1,1.5
3802,0,0
3803,0,0
3804,1,3.2
3805,0,0
3806,1,2.4
3807,0,0
3808,0,0
3809,0,0
3810,1,1.4
3812,0,0
3813,0,0
3814,0,0
3815,0,0
3816,0,0
3818,0,0
3820,0,0
3821,0,0
3822,0,0
3823,1,0.3
3824,0,0
3825,1,0.15
3831,1,1.44
3832,0,0
3833,1,0.225
3835,0,0
3840,0,0
3842,1,1.92
3844,1,1.44
3847,0,0
3850,0,0
3851,0,0
3852,0,0
3853,0,0
3854,0,0
3856,0,0
3857,0,0
3858,0,0
3859,2,0.87
3860,0,0
3862,0,0
3864,0,0
3865,0,0
3869,0,0
3870,0,0
3871,1,0.96
3873,0,0
3874,0,0
3875,0,0
3878,0,0
3880,0,0
3882,0,0
3885,1,0.64
3886,0,0
3887,0,0
3888,0,0
3889,0,0
3890,1,1.12
3891,1,0.96
3892,0,0
3893,0,0
3895,0,0
3896,0,0
3898,5,3.864
3900,1,0.45
3902,0,0
3903,0,0
3904,1,1.44
3909,0,0
3910,2,3.36
3911,0,0
3912,0,0
3913,0,0
3915,0,0
3916,0,0
3918,0,0
3919,0,0
3921,2,1.44
3922,0,0
3923,0,0
3925,0,0
3926,1,1.68
3927,0,0
3928,1,0.4
3929,0,0
3930,0,0
3931,0,0
3933,0,0
3934,1,0.98
3936,0,0
3937,0,0
3938,2,3.2
3939,0,0
3940,0,0
3941,0,0
3942,0,0
3943,0,0
3944,0,0
3945,0,0
3946,0,0
3950,0,0
3951,0,0
3953,2,1.12
3954,0,0
3956,1,0.32
3957,0,0
3958,0,0
3959,0,0
