postcode,installations,output
4814,7321,39996.112
4815,4264,19260.986
4816,1773,9324.452
4817,5696,28458.634
4818,5757,31642.911
4819,502,2597.493
4820,1353,7701.048
4821,249,1755.167
4822,122,1145.37
4823,122,1086.64
4824,216,1702.535
4825,1962,12852.291
4828,25,302.205
4829,113,870.324
4830,65,1107.153
4849,290,1886.259
4850,1776,8698.978
4852,766,4729.747
4854,742,5373.096
4855,116,618.845
4856,126,716.1
4857,3,11.36
4858,234,1497.22
4859,74,369.265
4860,1224,8093.954
4861,178,1195.6
4865,1331,7850.214
4868,2913,16345.061
4869,2745,15497.833
4870,8445,53397.58
4871,1390,9387.287
4872,700,5459.415
4873,1239,6956.291
4874,19,202.77
4875,131,1569.011
4876,25,407.28
4877,746,4844.137
4878,2142,12379.491
4879,3530,19975.749
4880,2232,14881.974
4881,675,3536.219
4882,530,3467.79
4883,902,4803.028
4884,419,2087.374
4885,638,3316.514
4886,105,686.876
4887,306,1378.6
4888,419,2266.164
4890,94,1014.105
4891,68,650.12
4892,52,1014.915
4895,429,2790.885
5000,931,10184.617
5001,13,239.295
5006,668,3920.504
5007,933,6635.426
5008,1957,10459.42
5009,884,5775.1
5010,950,6996.028
5011,1798,10399.019
5012,1597,8334.338
5013,1748,14257.26
5014,1904,10242.293
5015,937,5500.585
5016,1633,7448.388
5017,777,3532.035
5018,1310,5049.061
5019,1611,6575.748
5020,596,2750.578
5021,1303,6070.614
5022,2793,12946.15
5023,2295,11211.878
5024,2357,11172.876
5025,1409,7005.788
5031,1332,9025.452
5032,1876,9740.484
5033,1109,7015.013
5034,1498,7781.065
5035,820,4506.591
5037,1536,8141.356
5038,2250,10453.02
5039,1462,8991.035
5040,425,2254.199
5041,2004,9589.197
5042,1785,9387.101
5043,2859,12950.342
5044,1897,9682.748
5045,2016,10758.077
5046,1381,6228.722
5047,1411,6006.47
5048,2661,12134.012
5049,1972,8694.218
5050,1084,4865.736
5051,2735,13343.628
5052,1086,5514.375
5061,1529,9636.042
5062,2520,14160.399
5063,1608,9135.447
5064,1709,10127.872
5065,1574,8610.261
5066,2113,11968.681
5067,1336,8735.496
5068,1754,9888.324
5069,1335,8253.032
5070,2150,11477.127
5071,3,14.16
5072,2227,12112.152
5073,2475,12293.169
5074,2071,10963.924
5075,1863,8238.029
5076,1633,7642.472
5081,1540,9312.996
5082,2259,12189.716
5083,1121,5410.328
5084,1204,6983.894
5085,3913,17580.911
5086,2955,13821.422
5087,1863,8929.964
5088,636,3772.945
5089,1199,5580.879
5090,1554,6128.679
5091,1388,6052.737
5092,3148,13138.576
5093,1716,6509.816
5094,312,5659.33
5095,3377,18056.815
5096,2745,11876.569
5097,2526,10593.105
5098,2535,9694.293
5106,79,1649.385
5107,3376,15303.16
5108,6771,30899.097
5109,3850,16729.399
5110,1636,11500.377
5111,33,1162.62
5112,2845,13491.941
5113,2422,11639.919
5114,6237,29522.267
5115,1681,8905.069
5116,1910,8775.266
5117,985,6156.231
5118,4011,20836.503
5120,726,7614.524
5121,613,4282.275
5125,3741,16840.31
5126,1269,5523.88
5127,1494,5939.15
5131,230,1286.682
5132,103,973.696
5133,102,573.69
5134,95,569.895
5136,109,581.845
5137,128,1097.015
5138,68,590.265
5139,91,880.34
5140,93,430.481
5141,186,975.316
5142,137,938.6
5144,93,603.149
5150,21,137.315
5151,74,463.6
5152,922,5410.838
5153,1597,9829.185
5154,510,2895.177
5155,655,3237.128
5156,136,669.424
5157,770,4164.138
5158,5286,21069.533
5159,6632,27419.333
5160,267,5176.422
5161,2071,8176.558
5162,6826,27410.802
5163,2893,12398.855
5164,789,3207.591
5165,821,3667.171
5166,376,1366.312
5167,1224,4902.181
5168,1167,5503.095
5169,3772,17490.57
5170,295,1188.236
5171,1701,10081.964
5172,1153,5952.948
5173,2956,12387.48
5174,740,3335.774
5175,1,0.3
5201,537,3133.514
5202,243,1593.31
5203,361,1860.457
5204,1350,6080.861
5207,1,0.96
5210,507,2669.729
5211,5034,20847.344
5212,831,3036.375
5213,483,2068.71
5214,3305,13410.699
5220,38,141.836
5221,129,599.651
5222,257,1044.904
5223,738,3765.27
5231,282,1570.095
5232,99,630.977
5233,329,2273.316
5234,320,1727.537
5235,646,3193.299
5236,75,342.203
5237,88,349.547
5238,1511,7108.726
5240,155,1529.676
5241,514,3586.497
5242,358,2393.922
5243,195,1452.667
5244,981,5952.486
5245,663,4094.499
5250,740,4521.831
5251,3570,21491.894
5252,1288,6303.638
5253,3850,20380.663
5254,782,4825.465
5255,2429,13084.468
5256,505,2045.98
5259,361,2225.255
5260,417,2013.137
5261,61,298.077
5262,63,519.759
5263,37,647.756
5264,316,1854.667
5265,77,425.11
5266,137,759.14
5267,388,2307.525
5268,692,4063.754
5269,41,252.935
5270,136,784.835
5271,1244,7881.451
5272,130,803.079
5273,13,52.69
5275,548,2928.219
5276,354,2057.764
5277,456,2903.82
5278,79,443.915
5279,84,453.139
5280,1384,7337.036
5290,2671,14625.753
5291,1438,9758.066
5301,120,681.95
5302,182,983.16
5303,35,253.25
5304,122,558.68
5306,15,75.32
5307,145,710.605
5308,25,120.775
5309,24,126.6
5310,7,38.92
5311,60,277.31
5312,1,5
5320,331,1996.115
5321,104,658.643
5322,249,1404.381
5330,922,5525.962
5331,101,650.862
5332,114,603.692
5333,1432,9112.767
5340,341,2244.682
5341,1735,12044.884
5342,276,1886.248
5343,1066,7587.672
5344,189,1311.38
5345,845,4887.393
5346,79,485.109
5350,140,1050.61
5351,1458,7250.828
5352,1251,8003.514
5353,931,5156.221
5354,186,948.037
5355,1897,11247.754
5356,179,871.331
5357,188,1290.04
5360,265,1362.716
5371,328,2066.214
5372,554,2922.061
5373,832,3846.144
5374,365,2137.659
5381,89,447.73
5400,223,1220.757
5401,162,845.335
5410,71,322.318
5411,67,295.96
5412,303,1546.065
5413,198,975.38
5414,25,94.662
5415,52,298.49
5416,51,238.064
5417,330,1789
5418,29,125.62
5419,50,249.65
5420,21,92.645
5421,21,100.3
5422,398,1740.648
5431,249,1450.715
5432,56,204.96
5433,393,1691.973
5434,91,356.26
5440,31,286.545
5451,192,956.65
5452,98,736.124
5453,1106,6713.174
5454,71,430.355
5455,9,35.61
5460,165,1103.363
5461,614,3167.115
5462,123,572.355
5464,105,582.23
5470,27,122.525
5471,14,89.99
5472,44,242.61
5473,193,867.265
5480,265,1311.392
5481,162,853.692
5482,131,705.185
5483,82,367.66
5485,156,736.824
5490,42,210.6
5491,493,3005.11
5493,25,91.325
5495,208,1006.625
5501,2109,13194.835
5502,389,2240.386
5510,30,116.29
5520,137,619.475
5521,42,179.935
5522,585,2614.647
5523,410,1932.036
5540,3173,15740.407
5550,198,2494.16
5552,69,389.849
5554,1121,6309.837
5555,165,662.174
5556,1337,5954.512
5558,1762,7721.681
5560,130,684.071
5570,232,918.168
5571,651,2606.641
5572,44,187.415
5573,676,3230.841
5575,1052,4205.478
5576,313,1370.317
5577,170,765.184
5580,112,501.772
5581,290,1202.976
5582,278,1176.545
5583,380,1643.692
5600,1687,8455.157
5601,72,347.955
5602,372,1910.69
5603,127,679.093
5604,71,292.094
5605,502,2271.449
5606,2452,13825.601
5607,1160,5928.898
5608,2139,10166.715
5609,317,1654.63
5611,17,97.85
5630,23,106.98
5631,274,1697.384
5632,47,236.955
5633,53,424.965
5640,271,1574.983
5641,240,1572.562
5642,50,282.73
5650,24,109.36
5651,28,158.265
5652,147,1029.89
5653,13,61.695
5654,58,259.48
5655,18,76.86
5660,6,33.145
5661,25,176.79
5670,121,796.27
5671,40,209.35
5680,638,3769.614
5690,630,4039.144
5700,2174,12058.749
5701,11,142.05
5710,644,3290.747
5713,3,38.88
5717,11,150.78
5719,13,126.53
5720,10,104.44
5722,20,192.43
5723,53,943.131
5724,5,21.44
5725,270,2033.275
5730,19,119.611
5731,35,1107.065
5732,70,311.082
5733,16,171.61
5734,3,37.96
5875,1,1.16
5950,3,115.39
6000,450,3506.048
6001,3,9.34
6003,140,985.689
6004,167,1489.264
6005,146,2466.834
6006,878,4129.325
6007,613,3638.602
6008,1292,6972.089
6009,1651,9087.441
6010,1953,9252.488
6011,835,4416.846
6012,832,4398.054
6013,1,0.375
6014,2169,10683.388
6015,826,4324.925
6016,917,4028.876
6017,423,6781.091
6018,4912,21396.589
6019,1904,8370.115
6020,3349,14675.621
6021,2604,13895.107
6022,931,3367.737
6023,2659,11183.55
6024,2491,9274.036
6025,5393,21426.058
6026,4573,17753.714
6027,7248,30795.303
6028,4335,19981.588
6029,344,1548.94
6030,7192,28473.26
6031,3359,15787.453
6032,41,373.165
6033,95,1053.135
6034,725,3020.442
6035,2130,9190.651
6036,2568,11777.161
6037,832,3596.021
6038,2088,8949.353
6041,486,2180.48
6042,28,103.935
6043,68,259.655
6044,347,1402.398
6050,1453,7061.917
6051,859,3509.614
6052,1231,5577.786
6053,1996,9867.71
6054,2967,12816.241
6055,5721,30730.049
6056,6643,30852.663
6057,3034,11940.608
6058,2577,10687.192
6059,3022,12651.154
6060,1830,7782.454
6061,3374,12709.396
6062,4487,20484.629
6063,2567,10325.911
6064,4450,16875.512
6065,13081,63317.489
6066,3248,13067.655
6067,2,92.22
6068,18,257.02
6069,8514,38687.414
6070,653,2643.563
6071,601,2537.173
6072,177,691.543
6073,592,2919.249
6074,211,866.747
6076,3989,17960.137
6077,353,2535.461
6078,156,1316.544
6079,3,19.825
6081,868,3815.397
6082,594,2504.896
6083,802,3506.855
6084,1886,9807.071
6090,376,8059.357
6100,1223,6373.697
6101,1724,7613.336
6102,1005,4834.704
6103,794,3272.307
6104,1737,9464.04
6105,1770,8877.616
6106,213,6361.08
6107,6459,29123.379
6108,4169,15204.385
6109,2273,11015.545
6110,7496,30940.567
6111,3982,17174.369
6112,12072,56483.664
6121,722,4002.736
6122,4220,20975.458
6123,465,2296.63
6124,264,1132.01
6125,681,3887.207
6126,53,300.27
6147,2354,8287.538
6148,3049,12219.313
6149,3467,14312.175
6150,2116,9133.145
6151,1459,7378.428
6152,2823,12299.656
6153,2559,12278.314
6154,1615,8675.404
6155,10251,46016.037
6156,2212,10178.463
6157,1630,6875.783
6158,849,3875.714
6159,252,1338.255
6160,805,3645.179
6161,4,72.9
6162,1554,5816.72
6163,7998,37748.711
6164,11326,51252.517
6165,42,1688.875
6166,1676,8743.428
6167,4630,19058.419
6168,4411,17257.495
6169,7121,26050.301
6170,2920,13310.775
6171,7476,32533.124
6172,2843,11515.584
6173,2354,10413.313
6174,872,4005.572
6175,784,3314.495
6176,348,1846.69
6180,1390,5900.505
6181,139,694.947
6207,286,1510.805
6208,3275,13389.131
6209,421,1669.915
6210,16129,61650.026
6211,1960,8344.028
6213,144,649.793
6214,137,593.385
6215,826,3861.945
6218,115,493.325
6219,3,19.83
6220,828,4301.37
6221,45,272.223
6223,29,136.339
6224,197,1138.147
6225,1536,6193.428
6226,198,925.059
6227,159,645.445
6228,27,141.46
6229,38,627.44
6230,6173,27149.495
6231,17,45.13
6232,2087,8014.214
6233,3599,15027.04
6236,437,1954.696
6237,543,2322.258
6239,938,4153.444
6240,50,225.99
6243,4,15.648
6244,214,958.97
6251,79,588.796
6252,20,96.52
6253,156,606.281
6254,76,305.555
6255,671,2738.196
6256,29,134.935
6258,715,4039.33
6260,175,1172.483
6262,116,630.959
6271,722,3002.258
6275,302,1313.897
6280,5165,24276.018
6281,1481,7838.141
6282,426,2252.173
6284,343,1999.538
6285,1240,6163.172
6286,139,765.621
6288,88,646.261
6290,304,1297.624
6302,772,3364.715
6304,421,1564.31
6306,176,894.011
6308,284,1385.44
6309,64,317.804
6311,104,437.87
6312,564,2695.026
6313,45,190.73
6315,331,1512.9
6316,66,246.244
6317,437,2014.908
6318,53,214.571
6320,62,338.76
6321,41,205.288
6322,32,147.96
6323,149,604.304
6324,410,2015.013
6326,62,223.531
6327,36,143.473
6328,44,194.11
6330,3532,15088.207
6331,2,5.59
6332,6,17.126
6333,875,3684.444
6335,100,518.425
6336,45,203.38
6337,39,207.084
6338,89,450.503
6341,26,154.888
6343,19,90.725
6346,45,315.227
6348,104,452.808
6350,58,273.265
6351,4,17.2
6352,24,195.585
6353,103,531.355
6355,45,268.91
6356,16,97.285
6357,9,43.015
6358,4,33.355
6359,55,422.89
6361,11,54.55
6363,17,60.34
6365,89,407.405
6367,38,241.33
6368,9,48.56
6369,111,667.09
6370,57,208.415
6372,27,102.935
6373,8,39.655
6375,187,782.496
6383,171,689.309
6384,4,22.34
6385,3,15.96
6386,8,35.555
6390,298,1483.457
6391,122,727.096
6392,70,308.164
6393,20,72.24
6394,30,325.635
6395,208,1025.004
6396,28,204.56
6397,15,81.78
6398,87,408.438
6401,1197,6230.582
6403,38,174.695
6405,42,196.26
6407,159,1043.016
6409,47,228.295
6410,142,686.517
6411,14,76.33
6412,5,29.82
6413,7,35
6414,5,38.102
6415,440,2233.272
6418,163,802.44
6419,8,28.875
6420,5,20.4
6421,15,78.771
6422,3,13.62
6423,57,267.735
6424,7,41.06
6425,19,125.35
6426,107,570.755
6427,2,8.25
6428,13,57.385
6429,122,779.04
6430,1662,9383.895
6431,12,64.885
6432,602,2915.273
6433,7,26.165
6434,13,93
6436,11,92.605
6437,189,328.65
6438,52,371.925
6440,22,302.85
6442,132,963.955
6443,47,375.415
6445,6,60.505
6446,4,33.17
6447,11,82.31
6448,10,57.725
6450,814,4307.025
6452,1,6.6
6460,130,692.976
6461,83,462.5
6462,10,57.028
6465,1,2.1
6466,8,43.44
6467,4,20.06
6468,31,278.32
6472,24,184.86
6473,7,17.68
6475,60,354.165
6476,4,17.925
6477,30,181.46
6479,94,494.035
6480,3,12.52
6484,8,45.1
6485,84,308.145
6487,4,15.795
6488,33,136.445
6489,11,54.27
6490,29,123.65
6501,260,1564.315
6502,304,1445.566
6503,546,4255.236
6504,32,175.705
6505,20,77.853
6506,19,628.17
6507,114,643.71
6509,13,113.225
6510,288,1617.97
6511,137,728.609
6512,10,54.895
6513,23,108.195
6514,189,948.84
6515,45,234.29
6516,507,2660.164
6517,76,365.58
6518,40,303.925
6519,98,536.759
6521,78,854.68
6522,93,521.385
6525,746,3494.496
6528,82,384.475
6530,4699,21810.9
6531,8,36
6532,1052,5225.605
6535,302,1335.98
6536,281,1497.882
6537,88,635.801
6556,390,1577.868
6558,142,548.114
6560,226,902.97
6562,304,1209.21
6564,81,272.19
6566,865,3224.906
6567,107,363.455
6568,26,139.58
6569,55,289.444
6571,8,57.67
6572,6,28.8
6574,6,34.98
6575,15,96.08
6603,166,1145.972
6605,1,6.12
6606,15,73.29
6608,17,75.18
6609,140,936.565
6612,29,188.42
6613,6,25.54
6614,1,6.6
6616,12,42.36
6620,43,236.36
6623,96,543.646
6625,5,26.35
6627,6,33.918
6628,8,30.62
6630,79,436.095
6631,5,32.3
6632,10,41.475
6635,17,184.035
6638,50,319.5
6639,21,95.701
6640,21,91.65
6642,69,415.338
6643,1,0.96
6646,12,247.856
6701,358,4384.474
6705,20,151.936
6707,179,2205.598
6710,302,2671.896
6713,58,562.15
6714,678,5560.171
6716,3,14.18
6718,29,262.765
6720,21,384.76
6721,125,1197.346
6722,237,1454.65
6725,461,5507.192
6726,160,1625.991
6728,172,2791.245
6740,30,334.554
6743,281,2727.925
6751,20,249.423
6753,77,1346.905
6754,3,23.13
6758,14,164.904
6760,35,186.292
6765,27,280.422
6770,31,648.617
6798,83,528.55
6799,13,78.58
6872,1,5
6901,2,6.12
6902,1,2.28
6903,3,6.5
6904,2,5.04
6906,3,9.02
6907,2,8.132
6909,4,13.6
6910,2,41.394
6911,3,6.4
6912,4,6.03
6913,1,1.5
6914,4,50.06
6915,3,4.1
6916,3,8.25
6917,1,17
6918,3,4.1
6920,2,6.2
6921,8,28.85
6922,9,26.52
6923,6,83.39
6924,5,14.06
6926,8,36.54
6929,2,8.01
6931,3,5.72
6933,5,11.785
6934,3,6.67
6935,2,5.97
6941,1,4.64
6943,2,3.12
6944,4,43.51
6946,5,14.68
6947,1,39.96
6951,2,3.1
6952,4,11.84
6953,6,37.495
6954,4,7.2
6955,15,44.5
6956,1,1.67
6957,3,7.24
6959,5,35.439
6963,4,8.065
6964,6,16.694
6966,4,53.31
6968,7,19.8
6979,3,7.74
6981,3,8.13
6982,3,9.74
6984,3,4.64
6985,5,15.65
6988,3,4.78
6989,2,6.52
6990,4,12.52
6991,6,15.37
6992,7,19.01
7000,768,4267.244
7001,5,97.66
7002,3,13.5
7004,503,1783.818
7005,726,3162.089
7006,10,42.325
7007,251,1143.339
7008,726,2741.432
7009,665,2833.943
7010,843,3753.566
7011,914,3306.419
7012,89,362.84
7015,739,2975.095
7016,123,464.419
7017,662,2901.191
7018,1489,6107.526
7019,338,1345.717
7020,304,1324.613
7021,196,868.346
7022,97,379.14
7023,43,178.958
7024,66,225.998
7025,218,1020.456
7026,99,440.136
7027,31,138.555
7030,1252,5665.693
7050,1008,4364.849
7051,24,97.94
7052,626,2555.763
7053,297,1165.103
7054,932,3938.126
7055,48,544.645
7109,923,4461.117
7112,410,1661.219
7113,137,533.805
7116,265,1201.457
7117,109,477.735
7119,3,6.1
7120,151,672.916
7140,770,3708.509
7150,452,1769.372
7155,158,629.139
7162,92,392.157
7163,61,306.614
7170,566,3510.933
7171,242,969.169
7172,338,1395.563
7173,793,3077.918
7174,22,112.157
7175,16,60.55
7176,11,50.725
7177,35,169.485
7178,47,200.795
7179,58,195.745
7180,24,91.4
7182,37,206.995
7183,1,3.24
7184,109,449.374
7185,15,59.216
7186,15,57.76
7187,15,86.55
7190,497,2379.494
7209,39,146.68
7210,83,410.095
7211,6,34.86
7212,200,1454.155
7213,35,152.24
7214,61,208.696
7215,526,2184.127
7216,519,2702.142
7248,854,4836.879
7249,755,4728.168
7250,3502,16956.986
7252,375,1700.654
7253,478,2457.69
7254,67,371.84
7255,199,780.955
7256,282,1972.677
7257,2,7.72
7258,113,793.7
7259,56,226.632
7260,321,1753.535
7261,32,171.911
7262,190,696.062
7263,56,240.615
7264,68,351.063
7265,21,94.591
7267,101,435.74
7268,127,556.416
7270,658,2609.446
7275,413,1832.887
7276,63,230.186
7277,718,3439.668
7290,179,821.558
7291,69,453.182
7292,52,306.502
7300,313,1385.471
7301,422,2210.372
7302,111,944.633
7303,296,1560
7304,667,3337.1
7305,116,479.145
7306,421,2160.66
7307,968,4726.144
7310,1780,8334
7315,1191,5833.248
7316,527,2399.109
7320,826,4595.903
7321,414,1974.834
7322,286,1368.895
7325,713,3361.528
7330,432,2586.222
7331,31,172.67
7466,4,10.38
7467,76,386.47
7468,34,204.895
7469,37,138.765
7470,43,193.257
7802,1,2.45
8576,2,6.84
9729,1,0.875
